format=1 tracks=2 division=480

BA   14   CR 1+111/160   TR  1   CH  1   NT  Bb          2+3/4   voff=80

BA   15   CR         0   TR  1   CH  1   NT  Eb'         1+1/2   voff=80
BA   15   CR 1+253/480   TR  1   CH  1   NT  Db'           1/2   voff=80
BA   15   CR 1+151/160   TR  1   CH  1   NT  Ab-        1+1/12   voff=80
BA   15   CR 1+151/160   TR  1   CH  1   NT  Eb              1   voff=80
BA   15   CR 1+151/160   TR  1   CH  1   NT  C-         1+1/12   voff=80
BA   15   CR         2   TR  1   CH  1   NT  C'              1   voff=80

BA   16   CR    13/240   TR  1   CH  1   NT  F            7/12   voff=80
BA   16   CR      1/12   TR  1   CH  1   NT  Bb-           1/2   voff=80
BA   16   CR    53/480   TR  1   CH  1   NT  Bb           7/12   voff=80
BA   16   CR       3/4   TR  1   CH  1   NT  Ab       2+31/160   voff=80
BA   16   CR       3/4   TR  1   CH  1   NT  C        2+31/160   voff=80
BA   16   CR       3/4   TR  1   CH  1   NT  Eb-         2+1/4   voff=80

BA   17   CR     71/80   TR  1   CH  1   NT  Eb-          9/10   voff=80
BA   17   CR     71/80   TR  1   CH  1   NT  Bb-          9/10   voff=80
BA   17   CR   151/160   TR  1   CH  1   NT  Eb        467/480   voff=80
BA   17   CR 1+233/240   TR  1   CH  1   NT  Eb-          9/10   voff=80
BA   17   CR  2+13/480   TR  1   CH  1   NT  Eb          11/12   voff=80
BA   17   CR  2+13/240   TR  1   CH  1   NT  Bb-          9/10   voff=80

BA   18   CR    13/240   TR  1   CH  1   NT  Eb-     2+373/480   voff=80
BA   18   CR      1/12   TR  1   CH  1   NT  C           2+5/6   voff=80
BA   18   CR    53/480   TR  1   CH  1   NT  Ab         71/160   voff=80
BA   18   CR       2/3   TR  1   CH  1   NT  Ab           5/12   voff=80
BA   18   CR  1+53/240   TR  1   CH  1   NT  Ab         1+7/12   voff=80

BA   19   CR    13/240   TR  1   CH  1   NT  Bb      1+187/480   voff=80
BA   19   CR      1/12   TR  1   CH  1   NT  F           2+2/3   voff=80
BA   19   CR    53/480   TR  1   CH  1   NT  Db      2+111/160   voff=80
BA   19   CR     11/80   TR  1   CH  1   NT  Bb-     2+307/480   voff=80
BA   19   CR     1+1/2   TR  1   CH  1   NT  Bb      1+173/480   voff=80

BA   20   CR    53/480   TR  1   CH  1   NT  C'          11/12   voff=80
BA   20   CR    53/480   TR  1   CH  1   NT  C            9/10   voff=80
BA   20   CR    53/480   TR  1   CH  1   NT  A            9/20   voff=80
BA   20   CR    53/480   TR  1   CH  1   NT  F           2+1/3   voff=80
BA   20   CR  1+13/240   TR  1   CH  1   NT  Bb      1+227/480   voff=80
BA   20   CR  1+13/240   TR  1   CH  1   NT  Bb-     1+227/480   voff=80
BA   20   CR  1+53/480   TR  1   CH  1   NT  Db          1+5/6   voff=80
BA   20   CR     2+1/2   TR  1   CH  1   NT  Ab           9/20   voff=80
BA   20   CR    2+7/12   TR  1   CH  1   NT  Ab-       173/480   voff=80

BA   21   CR    13/240   TR  1   CH  1   NT  D-          11/12   voff=80
BA   21   CR      1/12   TR  1   CH  1   NT  Bb         2+7/12   voff=80
BA   21   CR    53/480   TR  1   CH  1   NT  F           11/12   voff=80
BA   21   CR    53/480   TR  1   CH  1   NT  Bb-         2+1/2   voff=80
BA   21   CR  1+13/240   TR  1   CH  1   NT  Eb          11/12   voff=80
BA   21   CR  1+53/480   TR  1   CH  1   NT  G-      1+253/480   voff=80
BA   21   CR  2+13/240   TR  1   CH  1   NT  Db           7/12   voff=80

BA   22   CR    13/480   TR  1   CH  1   NT  F            5/12   voff=80
BA   22   CR    13/480   TR  1   CH  1   NT  C           1+1/4   voff=80
BA   22   CR    13/480   TR  1   CH  1   NT  A-           9/20   voff=80
BA   22   CR      7/12   TR  1   CH  1   NT  F           27/40   voff=80
